,gene_id,gene_type,gene_name
4791,ENSMUSG00000097711.1,processed_pseudogene,Gm5523
4794,ENSMUSG00000102166.1,TEC,Gm36947
4797,ENSMUSG00000089358.1,misc_RNA,Gm25491
4800,ENSMUSG00000104209.1,TEC,Gm37400
4803,ENSMUSG00000025932.14,protein_coding,Eya1
5029,ENSMUSG00000095853.1,miRNA,Gm22616
5032,ENSMUSG00000102588.1,TEC,Gm37444
5035,ENSMUSG00000054493.2,antisense,Gm9947
5044,ENSMUSG00000025930.6,protein_coding,Msc
5067,ENSMUSG00000103492.1,TEC,Gm37412
5070,ENSMUSG00000081201.1,processed_pseudogene,Smt3h2-ps4
5073,ENSMUSG00000082193.1,processed_pseudogene,Rpl5-ps1
5076,ENSMUSG00000032769.5,protein_coding,Trpa1
5192,ENSMUSG00000088159.1,snoRNA,Gm26345
5195,ENSMUSG00000073737.3,processed_pseudogene,Gm10566
5198,ENSMUSG00000092083.4,protein_coding,Kcnb2
5218,ENSMUSG00000102937.1,TEC,Gm38116
5221,ENSMUSG00000104149.1,TEC,Gm37138
5224,ENSMUSG00000088829.1,snoRNA,Gm25227
5227,ENSMUSG00000077377.1,snoRNA,Gm25168
5230,ENSMUSG00000101652.1,processed_pseudogene,Gm6060
5234,ENSMUSG00000100814.1,processed_pseudogene,Gm28669
5237,ENSMUSG00000025925.14,protein_coding,Terf1
5300,ENSMUSG00000104379.1,TEC,Gm37509
5303,ENSMUSG00000032719.4,protein_coding,Sbspon
5319,ENSMUSG00000088943.1,misc_RNA,Gm23259
5322,ENSMUSG00000100652.1,processed_pseudogene,Gm7634
5325,ENSMUSG00000067795.13,protein_coding,4930444P10Rik
5371,ENSMUSG00000043716.13,protein_coding,Rpl7
5421,ENSMUSG00000025921.7,protein_coding,Rdh10
5442,ENSMUSG00000104165.1,TEC,Gm38249
5445,ENSMUSG00000100868.1,antisense,Gm28095
5450,ENSMUSG00000025920.19,protein_coding,Stau2
5856,ENSMUSG00000089982.7,antisense,Gm7568
5870,ENSMUSG00000025939.18,protein_coding,Ube2w
5951,ENSMUSG00000102457.1,TEC,Gm38342
5954,ENSMUSG00000079658.9,protein_coding,Eloc
6059,ENSMUSG00000097744.1,lincRNA,D030040B21Rik
6065,ENSMUSG00000100959.1,processed_pseudogene,Gm7654
6068,ENSMUSG00000025940.6,protein_coding,Tmem70
6098,ENSMUSG00000025779.10,protein_coding,Ly96
6132,ENSMUSG00000100093.1,processed_pseudogene,Gm29649
6135,ENSMUSG00000091020.3,processed_pseudogene,Gm5828
6138,ENSMUSG00000101640.1,antisense,Gm28376
6143,ENSMUSG00000104133.1,TEC,4921511E07Rik
6146,ENSMUSG00000042686.5,protein_coding,Jph1
6173,ENSMUSG00000100110.1,lincRNA,Gm28783
6177,ENSMUSG00000025777.8,protein_coding,Gdap1
6218,ENSMUSG00000099899.1,lincRNA,Gm28784
6224,ENSMUSG00000100272.1,processed_pseudogene,Gm28785
6227,ENSMUSG00000100398.1,processed_pseudogene,Gm5251
6230,ENSMUSG00000101589.1,processed_pseudogene,Rbm6-ps1
6233,ENSMUSG00000102048.1,processed_pseudogene,Gm6075
6236,ENSMUSG00000089534.1,snoRNA,Gm25166
6239,ENSMUSG00000067780.3,protein_coding,Pi15
6257,ENSMUSG00000100053.1,antisense,Gm28154
6263,ENSMUSG00000085125.7,antisense,Gm16070
6281,ENSMUSG00000025776.13,protein_coding,Crispld1
6365,ENSMUSG00000099895.1,antisense,Gm28153
6370,ENSMUSG00000100554.1,processed_pseudogene,Gm7690
6373,ENSMUSG00000099473.1,transcribed_unprocessed_pseudogene,Gm18775
6378,ENSMUSG00000099591.1,processed_pseudogene,Gm17969
6382,ENSMUSG00000109887.1,processed_transcript,Gm28756
6395,ENSMUSG00000102001.1,unprocessed_pseudogene,Gm28755
6400,ENSMUSG00000101717.2,transcribed_unprocessed_pseudogene,Gm45784
6404,ENSMUSG00000025774.14,protein_coding,Crisp4
6476,ENSMUSG00000070977.4,unprocessed_pseudogene,Defb44-ps
6480,ENSMUSG00000073735.1,protein_coding,Defb18
6489,ENSMUSG00000067773.6,protein_coding,Defb41
6507,ENSMUSG00000101685.1,processed_pseudogene,Gm17837
6510,ENSMUSG00000101306.1,processed_pseudogene,Gm5252
6513,ENSMUSG00000088800.1,snoRNA,Gm24075
6516,ENSMUSG00000101644.1,processed_pseudogene,Gm28343
6519,ENSMUSG00000099433.1,processed_pseudogene,Gm28344
6522,ENSMUSG00000089787.2,antisense,Gm15825
6528,ENSMUSG00000042596.7,protein_coding,Tfap2d
6557,ENSMUSG00000100720.1,processed_pseudogene,Gm10075
6560,ENSMUSG00000025927.13,protein_coding,Tfap2b
6626,ENSMUSG00000100538.1,lincRNA,Gm28340
6630,ENSMUSG00000101117.1,processed_pseudogene,Gm28341
6633,ENSMUSG00000100204.1,processed_pseudogene,Gm4849
6636,ENSMUSG00000084668.1,snoRNA,Gm24633
6639,ENSMUSG00000102597.1,TEC,Gm38382
6642,ENSMUSG00000043760.16,protein_coding,Pkhd1
6802,ENSMUSG00000104095.1,TEC,Gm37315
6805,ENSMUSG00000089914.2,antisense,4930486I03Rik
6810,ENSMUSG00000090142.2,processed_pseudogene,Gm15795
6813,ENSMUSG00000070175.1,snRNA,Gm24162
6816,ENSMUSG00000099906.2,lincRNA,Gm28653
6823,ENSMUSG00000065559.1,miRNA,Mir206
6826,ENSMUSG00000065480.1,miRNA,Mir133b
6829,ENSMUSG00000025929.4,protein_coding,Il17a
6841,ENSMUSG00000041872.9,protein_coding,Il17f
6873,ENSMUSG00000041859.10,protein_coding,Mcm3
6938,ENSMUSG00000099714.1,processed_pseudogene,Gm20587
6941,ENSMUSG00000102121.1,lincRNA,Gm28065
6946,ENSMUSG00000088858.1,snoRNA,Gm24723
6949,ENSMUSG00000097934.1,lincRNA,6720483E21Rik
6955,ENSMUSG00000025931.15,protein_coding,Paqr8
7002,ENSMUSG00000077314.1,snoRNA,Gm24171
7005,ENSMUSG00000100929.1,processed_pseudogene,Gm28064
7009,ENSMUSG00000041809.5,protein_coding,Efhc1
7040,ENSMUSG00000041779.5,protein_coding,Tram2
7077,ENSMUSG00000099971.1,antisense,Gm28287
7082,ENSMUSG00000100819.1,unprocessed_pseudogene,Gm2693
7089,ENSMUSG00000025933.15,protein_coding,Tmem14a
7120,ENSMUSG00000102633.1,TEC,Gm38224
7123,ENSMUSG00000025934.15,protein_coding,Gsta3
7185,ENSMUSG00000099343.1,antisense,Gm28836
7189,ENSMUSG00000096375.2,unprocessed_pseudogene,Gm7094
7193,ENSMUSG00000025936.15,transcribed_unprocessed_pseudogene,Gm4956
7214,ENSMUSG00000093963.1,unprocessed_pseudogene,Gm21909
7220,ENSMUSG00000067750.3,protein_coding,Khdc1a
7232,ENSMUSG00000086194.1,unprocessed_pseudogene,Gm16329
7237,ENSMUSG00000094436.1,processed_pseudogene,Gm16327
7240,ENSMUSG00000041722.7,protein_coding,Khdc1c
7252,ENSMUSG00000085507.1,unprocessed_pseudogene,Gm2709
7257,ENSMUSG00000094926.1,processed_pseudogene,Gm16533
7260,ENSMUSG00000085079.3,protein_coding,Khdc1b
7272,ENSMUSG00000085679.2,processed_pseudogene,Gm16328
7275,ENSMUSG00000028033.16,protein_coding,Kcnq5
7445,ENSMUSG00000104138.1,TEC,Gm36949
7448,ENSMUSG00000082935.3,processed_pseudogene,Gm7658
7451,ENSMUSG00000103748.1,TEC,Gm38243
7454,ENSMUSG00000097109.1,lincRNA,Gm26580
7459,ENSMUSG00000099692.1,processed_pseudogene,Gm5696
7462,ENSMUSG00000100418.1,processed_pseudogene,Gm28239
7465,ENSMUSG00000041670.16,protein_coding,Rims1
7937,ENSMUSG00000097642.1,processed_pseudogene,Gm26866
7940,ENSMUSG00000101468.1,processed_pseudogene,Gm7761
7945,ENSMUSG00000101227.1,sense_overlapping,Gm29506
7951,ENSMUSG00000073730.2,protein_coding,4933415F23Rik
7959,ENSMUSG00000089553.1,snoRNA,Gm24176
7962,ENSMUSG00000102766.1,TEC,Gm6420
7967,ENSMUSG00000065405.3,miRNA,Mir30a
7970,ENSMUSG00000097970.1,lincRNA,Gm27028
7973,ENSMUSG00000065567.1,miRNA,Mir30c-2
7976,ENSMUSG00000100775.1,lincRNA,Gm29107
7979,ENSMUSG00000101226.1,processed_pseudogene,Gm20954
7982,ENSMUSG00000026158.11,protein_coding,Ogfrl1
8031,ENSMUSG00000097920.1,processed_pseudogene,Gm7784
8034,ENSMUSG00000099503.1,lincRNA,Gm28822
8040,ENSMUSG00000026156.8,protein_coding,B3gat2
8073,ENSMUSG00000026155.13,protein_coding,Smap1
8165,ENSMUSG00000026154.4,protein_coding,Sdhaf4
8180,ENSMUSG00000102495.1,TEC,Gm26524
8185,ENSMUSG00000026153.15,protein_coding,Fam135a
8464,ENSMUSG00000102398.1,TEC,Gm37580
8467,ENSMUSG00000097670.1,processed_pseudogene,Gm26607
8470,ENSMUSG00000026147.16,protein_coding,Col9a1
8638,ENSMUSG00000026141.13,protein_coding,Col19a1
8888,ENSMUSG00000077463.1,snoRNA,Gm26418
8891,ENSMUSG00000099997.1,processed_pseudogene,Tubb4b-ps2
8894,ENSMUSG00000100131.1,unprocessed_pseudogene,Gm28439
8897,ENSMUSG00000067736.2,unprocessed_pseudogene,Gm10222
8900,ENSMUSG00000101939.1,unprocessed_pseudogene,Gm28438
8903,ENSMUSG00000101111.1,unprocessed_pseudogene,Gm28437
8906,ENSMUSG00000100862.1,unprocessed_pseudogene,Gm10925
8909,ENSMUSG00000102070.1,unprocessed_pseudogene,Gm28661
8912,ENSMUSG00000101249.1,unprocessed_pseudogene,Gm29216
8915,ENSMUSG00000073725.8,protein_coding,Lmbrd1
9034,ENSMUSG00000100808.1,processed_pseudogene,Gm28594
9038,ENSMUSG00000100483.1,lincRNA,Gm28237
9045,ENSMUSG00000100450.1,processed_pseudogene,Gm9443
9048,ENSMUSG00000099392.1,lincRNA,Gm29414
9052,ENSMUSG00000033569.17,protein_coding,Adgrb3
9395,ENSMUSG00000080849.1,processed_pseudogene,Gm15702
9398,ENSMUSG00000104257.1,TEC,Gm20172
9401,ENSMUSG00000096866.1,snRNA,Gm22260
9404,ENSMUSG00000102296.1,TEC,Gm37543
9407,ENSMUSG00000103209.1,TEC,Gm37331
9410,ENSMUSG00000104027.1,TEC,Gm37211
9413,ENSMUSG00000102407.1,TEC,Gm37862
9416,ENSMUSG00000103214.1,TEC,Gm38286
9419,ENSMUSG00000104100.1,TEC,Gm37880
9422,ENSMUSG00000084740.1,snRNA,Gm25294
9425,ENSMUSG00000103889.1,TEC,Gm37011
9428,ENSMUSG00000101301.1,processed_pseudogene,Gm29214
9431,ENSMUSG00000104221.1,TEC,Gm37051
9434,ENSMUSG00000102250.1,TEC,Gm38260
9437,ENSMUSG00000102317.1,TEC,Gm37628
9440,ENSMUSG00000103563.1,TEC,8030445P17Rik
9443,ENSMUSG00000102465.1,TEC,Gm38198
9446,ENSMUSG00000102659.1,TEC,Gm37077
9449,ENSMUSG00000103924.1,TEC,Gm37895
9452,ENSMUSG00000104132.1,TEC,Gm36952
9455,ENSMUSG00000102747.1,TEC,Gm37602
9458,ENSMUSG00000102386.1,TEC,2900022M07Rik
9461,ENSMUSG00000103004.1,TEC,2900002M20Rik
9464,ENSMUSG00000104516.1,TEC,Gm9884
9467,ENSMUSG00000101618.1,processed_pseudogene,Gm18443
9470,ENSMUSG00000099458.1,processed_pseudogene,Gm19123
9473,ENSMUSG00000088111.1,snoRNA,Gm24064
9476,ENSMUSG00000073722.3,protein_coding,4931408C20Rik
9486,ENSMUSG00000095256.1,rRNA,n-R5s209
9489,ENSMUSG00000100310.1,processed_pseudogene,Gm19641
9492,ENSMUSG00000101514.1,lincRNA,Gm5524
9496,ENSMUSG00000101033.1,processed_pseudogene,Gm18776
9499,ENSMUSG00000101372.1,processed_pseudogene,Gm19028
9502,ENSMUSG00000103241.1,TEC,Gm38089
9505,ENSMUSG00000086240.4,processed_pseudogene,Gm7846
9508,ENSMUSG00000048411.4,protein_coding,Gm597
9518,ENSMUSG00000081557.2,processed_pseudogene,Gm5697
9521,ENSMUSG00000058590.2,processed_pseudogene,Gm6462
9524,ENSMUSG00000101235.1,processed_pseudogene,Gm18033
9527,ENSMUSG00000064433.1,misc_RNA,Gm25586
9530,ENSMUSG00000080625.1,miRNA,Gm22679
9533,ENSMUSG00000080391.1,miRNA,Gm23785
9536,ENSMUSG00000099257.1,miRNA,Mir6342
9539,ENSMUSG00000099492.1,processed_pseudogene,Gm5525
9542,ENSMUSG00000101726.1,processed_pseudogene,Gm7858
9545,ENSMUSG00000096829.1,miRNA,Gm23771
9548,ENSMUSG00000098883.1,miRNA,Gm27430
9551,ENSMUSG00000053185.2,lincRNA,Gm9898
9555,ENSMUSG00000100261.1,unprocessed_pseudogene,Gm6473
9561,ENSMUSG00000101180.1,processed_pseudogene,Gm2914
9564,ENSMUSG00000048874.15,protein_coding,Phf3
9711,ENSMUSG00000103783.1,TEC,Gm37522
9714,ENSMUSG00000104315.1,TEC,Gm37906
9717,ENSMUSG00000026064.16,protein_coding,Ptp4a1
9743,ENSMUSG00000117310.1,protein_coding,Ptp4a1
9795,ENSMUSG00000117091.1,protein_coding,AC153137.1
9802,ENSMUSG00000086726.3,processed_pseudogene,Gm9458
9805,ENSMUSG00000086727.8,protein_coding,4931428L18Rik
9864,ENSMUSG00000100237.1,lincRNA,Gm28644
9869,ENSMUSG00000098529.1,rRNA,Gm27362
9872,ENSMUSG00000100910.1,antisense,Gm29128
9877,ENSMUSG00000099796.1,processed_pseudogene,Gm7893
9880,ENSMUSG00000050217.13,protein_coding,Lgsn
9905,ENSMUSG00000026063.4,protein_coding,Pih1d3
9913,ENSMUSG00000077664.1,snoRNA,Gm26145
9916,ENSMUSG00000100205.1,processed_pseudogene,Gm4850
9919,ENSMUSG00000100592.1,processed_pseudogene,Gm28645
9922,ENSMUSG00000094215.2,processed_pseudogene,Gm6489
9925,ENSMUSG00000101093.1,processed_pseudogene,Gm10307
9929,ENSMUSG00000070960.4,processed_pseudogene,Gm19680
9932,ENSMUSG00000088620.1,snRNA,Gm23032
9935,ENSMUSG00000082159.2,processed_pseudogene,Gm7910
9938,ENSMUSG00000026058.11,protein_coding,Khdrbs2
9997,ENSMUSG00000064688.1,snRNA,Gm25814
10000,ENSMUSG00000103482.1,TEC,Gm37999
10003,ENSMUSG00000104498.1,TEC,Gm37110
10006,ENSMUSG00000104313.1,TEC,Gm37911
10009,ENSMUSG00000102865.1,TEC,Gm9839
10012,ENSMUSG00000102321.1,TEC,Gm37792
10015,ENSMUSG00000091318.2,protein_coding,Gm5415
10023,ENSMUSG00000089489.1,snRNA,Gm24732
10026,ENSMUSG00000104433.1,TEC,Gm37426
10029,ENSMUSG00000089395.1,misc_RNA,Gm23024
10032,ENSMUSG00000102926.1,TEC,Gm37151
10035,ENSMUSG00000100497.1,processed_pseudogene,Gm28624
10038,ENSMUSG00000102917.1,lincRNA,Gm37724
10041,ENSMUSG00000100481.1,processed_pseudogene,Gm7114
10044,ENSMUSG00000100590.1,processed_pseudogene,Gm4785
10047,ENSMUSG00000088750.1,snRNA,Gm24901
10050,ENSMUSG00000104230.1,lincRNA,Gm37591
10054,ENSMUSG00000101754.2,processed_pseudogene,Gm2987
10057,ENSMUSG00000065223.1,snRNA,Gm25792
10060,ENSMUSG00000100318.2,processed_pseudogene,Gm18799
10063,ENSMUSG00000101612.2,processed_pseudogene,Gm7933
10066,ENSMUSG00000065260.1,snRNA,Gm23453
10069,ENSMUSG00000026134.11,protein_coding,Prim2
10112,ENSMUSG00000101682.1,processed_pseudogene,Gm29228
10115,ENSMUSG00000102714.1,TEC,Gm37618
10118,ENSMUSG00000102093.1,processed_pseudogene,Gm17813
10121,ENSMUSG00000103746.1,TEC,1700001G17Rik
10126,ENSMUSG00000102198.1,TEC,Gm38173
10129,ENSMUSG00000004768.14,protein_coding,Rab23
10224,ENSMUSG00000042215.8,protein_coding,Bag2
10250,ENSMUSG00000103072.1,TEC,Gm37905
10253,ENSMUSG00000042197.13,protein_coding,Zfp451
10388,ENSMUSG00000081402.4,processed_pseudogene,Gm15455
10391,ENSMUSG00000042182.16,protein_coding,Bend6
10453,ENSMUSG00000104416.1,TEC,Gm37067
10456,ENSMUSG00000026131.18,protein_coding,Dst
11823,ENSMUSG00000103596.1,TEC,Gm37354
11826,ENSMUSG00000099382.1,processed_pseudogene,Gm28631
11829,ENSMUSG00000084506.1,snRNA,Gm23792
11832,ENSMUSG00000103364.1,TEC,Gm38157
11835,ENSMUSG00000105982.1,miRNA,Mir6896
11838,ENSMUSG00000096992.3,processed_transcript,Gm26788
11845,ENSMUSG00000103001.1,TEC,A930005N03Rik
11848,ENSMUSG00000104397.1,lincRNA,Gm37958
11852,ENSMUSG00000102839.1,TEC,Gm37385
11855,ENSMUSG00000101206.1,processed_pseudogene,Gm5266
11859,ENSMUSG00000101462.2,transcribed_processed_pseudogene,Gm3052
11864,ENSMUSG00000102336.1,lincRNA,Gm37233
11867,ENSMUSG00000092852.1,miRNA,Mir5103
11870,ENSMUSG00000042111.9,protein_coding,Ccdc115
11889,ENSMUSG00000101711.1,antisense,Gm28306
11893,ENSMUSG00000026127.13,protein_coding,Imp4
11988,ENSMUSG00000026126.15,protein_coding,Ptpn18
12078,ENSMUSG00000100280.2,processed_transcript,Gm28417
12088,ENSMUSG00000101223.6,lincRNA,4930568A12Rik
12100,ENSMUSG00000026125.9,protein_coding,Prss39
12129,ENSMUSG00000101116.1,processed_pseudogene,Gm28416
12132,ENSMUSG00000026124.4,protein_coding,Cfc1
