	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	gene_type	gene_name	n_counts	DE
ENSMUSG00000025912.17	54.60025798444806	-0.3245871638589039	0.23146968830173448	-1.4022879895867197	0.1608292654596024	0.9999986590898096	ENSMUSG00000025912.17	protein_coding	Mybl1	330.12653	No
ENSMUSG00000045210.9	198.62359001139748	-0.1359529751697332	0.14738074118649883	-0.9224609272231529	0.3562882020839654	0.9999986590898096	ENSMUSG00000045210.9	protein_coding	Vcpip1	1195.5458	No
ENSMUSG00000097893.10	0.5088463823551074	2.4980629597212634	2.602549499315311	0.9598522373459039	0.337129587479691		ENSMUSG00000097893.10	lncRNA	1700034P13Rik	3.515305	No
ENSMUSG00000025915.15	37.218387700169224	-0.2543497784733489	0.28805778415936667	-0.88298179205819	0.37724610929140134	0.9999986590898096	ENSMUSG00000025915.15	protein_coding	Sgk3	222.40631	No
ENSMUSG00000046334.5	1.4954940055623673	-0.26660399876208785	1.2813604686835793	-0.20806323066606433	0.8351795965376794		ENSMUSG00000046334.5	processed_pseudogene	Gm6195	9.53185	No
ENSMUSG00000098234.9	2.8331403459416045	0.22606117239458123	0.941655694930732	0.24006775896067858	0.8102777280335982	0.9999986590898096	ENSMUSG00000098234.9	lncRNA	Snhg6	17.757711	No
ENSMUSG00000099032.3	7.161605783023856	0.2559611574094701	0.5928312308611728	0.43176058224471336	0.6659154310913553	0.9999986590898096	ENSMUSG00000099032.3	protein_coding	Tcf24	42.230774	No
ENSMUSG00000104025.2	78.21551938419091	0.055548553463767726	0.1990052928320104	0.27913103552807933	0.780144266394271	0.9999986590898096	ENSMUSG00000104025.2	TEC	E330040D14Rik	469.09802	No
ENSMUSG00000087199.2	0.0						ENSMUSG00000087199.2	lncRNA	Gm15818	1.9724758	No
ENSMUSG00000119658.1	6.823013303448234	0.12510394459974258	0.6048165036463449	0.20684611588061885	0.8361300396163427	0.9999986590898096	ENSMUSG00000119658.1	snRNA	Gm24674	41.468555	No
ENSMUSG00000025917.10	38.163985395552075	0.24483690242172754	0.2706578302352688	0.904599368911306	0.3656776697985158	0.9999986590898096	ENSMUSG00000025917.10	protein_coding	Cops5	229.1131	No
ENSMUSG00000056763.17	1.6710541638192853	0.6399366081189475	1.2217987422472767	0.523765973880363	0.6004413223194778		ENSMUSG00000056763.17	protein_coding	Cspp1	9.419481	No
ENSMUSG00000102356.2	1138.6632226985691	0.03703596761482522	0.10330426029589239	0.35851345829052755	0.7199590980856945	0.9999986590898096	ENSMUSG00000102356.2	TEC	1700047N06Rik	6842.3926	No
ENSMUSG00000067851.12	58.09326123389504	0.0963910084046539	0.2256755417154456	0.4271220871874249	0.6692904062326177	0.9999986590898096	ENSMUSG00000067851.12	protein_coding	Arfgef1	348.75287	No
ENSMUSG00002076532.1	40.470487683681945	0.16263335692275482	0.26267635892016306	0.6191396804467852	0.5358243447512017	0.9999986590898096	ENSMUSG00002076532.1	misc_RNA	Gm54899	243.47757	No
ENSMUSG00000102556.2	8.815142858146983	0.000461452170857069	0.5455809334737495	0.0008457996651733646	0.999325149586088	0.9999986590898096	ENSMUSG00000102556.2	TEC	Gm37569	52.58725	No
ENSMUSG00000042501.13	22.13150040357306	-0.009364083941413479	0.3447307617581827	-0.027163470685514498	0.9783293511179708	0.9999986590898096	ENSMUSG00000042501.13	protein_coding	Cpa6	132.18405	No
ENSMUSG00000103810.2	0.9994696782542306	0.05411706072777193	1.5773627602744018	0.03430857003265222	0.9726310909963672		ENSMUSG00000103810.2	TEC	Gm38005	5.086895	No
ENSMUSG00000083422.2	9.004446034080104	0.37682168602845945	0.5298212231616981	0.711224219709024	0.4769453023816267	0.9999986590898096	ENSMUSG00000083422.2	processed_pseudogene	Gm15604	53.296806	No
ENSMUSG00000119312.1	0.6573518454024662	-1.4255344274803416	2.072612960975176	-0.6877957700359162	0.4915814002374608		ENSMUSG00000119312.1	snRNA	Gm25253	4.137153	No
ENSMUSG00000081417.2	48.22675295982288	-0.024662364523631596	0.24142288294564568	-0.10215421265259315	0.9186342705658339	0.9999986590898096	ENSMUSG00000081417.2	processed_pseudogene	Gm15603	291.051	No
ENSMUSG00000103448.2	0.0						ENSMUSG00000103448.2	TEC	Gm37133	1.7846982	No
ENSMUSG00000100212.2	29.67838347438037	0.3478314391952739	0.3053637006069904	1.1390726484643319	0.2546728544605603	0.9999986590898096	ENSMUSG00000100212.2	processed_pseudogene	Gm5522	179.092	No
ENSMUSG00000100648.2	3.674272736526319	0.5859487083449754	0.8368156164744142	0.700212444425493	0.4837946410966806	0.9999986590898096	ENSMUSG00000100648.2	processed_pseudogene	Gm28659	21.626675	No
ENSMUSG00002076499.1	30.600605966802586	-0.0701574624002191	0.296741762751266	-0.23642598112833307	0.8131021375399944	0.9999986590898096	ENSMUSG00002076499.1	snoRNA	Gm54912	183.41777	No
ENSMUSG00000048960.14	42.6493193237012	0.2358200142571337	0.2553793956165549	0.9234104955405676	0.3557933242377872	0.9999986590898096	ENSMUSG00000048960.14	protein_coding	Prex2	255.76898	No
ENSMUSG00000077318.3	4.001525736491439	0.2969701302437537	0.7859142227180514	0.37786583021324505	0.7055302672983828	0.9999986590898096	ENSMUSG00000077318.3	snoRNA	Gm24173	24.49632	No
ENSMUSG00000103494.2	39.458354198009594	-0.5592563774983886	0.270691974977984	-2.066024962667897	0.038826122594688546	0.9999986590898096	ENSMUSG00000103494.2	TEC	Gm37410	238.69168	No
ENSMUSG00000057715.14	117.09861405234409	0.1988621831263407	0.16948983111315347	1.1732986092456361	0.2406760798070292	0.9999986590898096	ENSMUSG00000057715.14	protein_coding	A830018L16Rik	702.78357	No
ENSMUSG00000103825.2	41.518621964439745	0.32292760399785486	0.25865288869067143	1.2484979604617947	0.21184875484382026	0.9999986590898096	ENSMUSG00000103825.2	TEC	Gm38178	249.70226	No
ENSMUSG00000099845.2	26.61321950494619	-0.0528091303487975	0.3192474207684986	-0.165417563035198	0.8686153307973195	0.9999986590898096	ENSMUSG00000099845.2	processed_pseudogene	Gm29273	161.15292	No
ENSMUSG00000103561.2	90.92120563746464	-0.11904740496394502	0.1888189178746592	-0.6304845208517212	0.5283776271242014	0.9999986590898096	ENSMUSG00000103561.2	TEC	Gm38069	547.0919	No
ENSMUSG00000101610.2	0.0						ENSMUSG00000101610.2	processed_pseudogene	Gm7560	1.1953089	No
ENSMUSG00000118923.1	15.14787298848068	0.0869385889734211	0.41592745340409537	0.20902344450188456	0.834429936774814	0.9999986590898096	ENSMUSG00000118923.1	snRNA	Gm22633	90.85017	No
ENSMUSG00000098555.3	50.27335192740151	0.1316721762572057	0.243829914170297	0.5400164975870947	0.5891856551520539	0.9999986590898096	ENSMUSG00000098555.3	miRNA	Mir6341	302.33017	No
ENSMUSG00000097628.2	3.8189603720471808	-0.3231614871649578	0.8055645290907911	-0.40116151530368077	0.6883012128690913	0.9999986590898096	ENSMUSG00000097628.2	processed_pseudogene	Gm2383	23.522158	No
ENSMUSG00000098163.2	0.16324869659214353	-0.9064242293787023	3.8768062942881185	-0.2338069432858123	0.8151348590013769		ENSMUSG00000098163.2	processed_pseudogene	Gm6216	1.2671671	No
ENSMUSG00000097171.2	1.168558009316734	0.47081107035467545	1.4475137288714899	0.3252549947983768	0.7449880895146783		ENSMUSG00000097171.2	lncRNA	Gm17644	6.63594	No
ENSMUSG00000101314.2	80.99470266428207	-0.02192071074805143	0.19396855035304866	-0.11301167487282247	0.9100212993032368	0.9999986590898096	ENSMUSG00000101314.2	lncRNA	Gm29663	487.25677	No
ENSMUSG00000016918.16	0.17113110890217628	1.0171552421969516	3.8223430649379613	0.2661077838688089	0.7901562004142793		ENSMUSG00000016918.16	protein_coding	Sulf1	1.471003	No
ENSMUSG00000025938.17	33.71514050351661	-0.21600929357049434	0.2846074332318432	-0.7589727756496495	0.4478688425342787	0.9999986590898096	ENSMUSG00000025938.17	protein_coding	Slco5a1	202.67749	No
ENSMUSG00000104518.2	5.337250898372862	0.41817835361830374	0.685009537667017	0.6104708483950776	0.5415499485641757	0.9999986590898096	ENSMUSG00000104518.2	TEC	Gm37162	31.044565	No
ENSMUSG00000069620.7	8.836741798177307	0.21926461090254665	0.5374110248732661	0.408001698428599	0.6832724279780198	0.9999986590898096	ENSMUSG00000069620.7	processed_pseudogene	Gm5250	53.388832	No
ENSMUSG00000005886.15	6.284581973726797	-0.8886879729690514	0.648220967723658	-1.3709645587211343	0.1703860044808968	0.9999986590898096	ENSMUSG00000005886.15	protein_coding	Ncoa2	38.215656	No
ENSMUSG00000103506.2	5.818433107548567	-0.19205487852523173	0.658976048366907	-0.29144439923300325	0.7707114618795246	0.9999986590898096	ENSMUSG00000103506.2	TEC	Gm38376	33.833725	No
ENSMUSG00000103495.2	1.8254712516578537	-0.20845693044983712	1.1643822024630122	-0.17902792571793794	0.8579157743657208		ENSMUSG00000103495.2	TEC	Gm37409	10.425401	No
ENSMUSG00002076346.1	28.904300391274877	-0.21093138448163734	0.30369061414087234	-0.6945601038028558	0.487331022085868	0.9999986590898096	ENSMUSG00002076346.1	miRNA	Gm55160	174.59607	No
ENSMUSG00000102639.2	11.78911751535014	-0.3122627559109216	0.4649826274483006	-0.6715578980327405	0.5018651887949158	0.9999986590898096	ENSMUSG00000102639.2	TEC	Gm38223	71.76448	No
ENSMUSG00000104170.2	4.165723629527125	0.1711155478756642	0.7708082507512694	0.22199496140432615	0.8243178056956724	0.9999986590898096	ENSMUSG00000104170.2	TEC	Gm37702	25.87594	No
